"fromId","mean_score","lat","lon","pop","amn_density","trafficScore","need","efficiency"
"59150008009",0.12,49.3649,-123.2842,0.74,0.01,0.01,0.12,-0.03125
"59150009001",0.12,49.3663,-123.2826,0.19,0.01,0.01,0.01,0.0833333333333335
"59150009002",0.12,49.3652,-123.282,0.25,0.01,0.01,0.02,0.0729166666666667
"59150009003",0.17,49.367,-123.2788,0.73,0.01,0.01,0.12,0.0208333333333333
"59150009008",0.11,49.3608,-123.2797,0.51,0.01,0.01,0.06,0.0208333333333333
"59150009009",0.15,49.3592,-123.2832,0.16,0.01,0.01,0.01,0.114583333333333
"59150009018",0.13,49.3661,-123.2754,0.13,0.01,0.01,0,0.104166666666667
"59150009019",0.1,49.3608,-123.2732,0.13,0.01,0.01,0,0.0729166666666667
"59150009021",0.1,49.3626,-123.2763,0.3,0.01,0.01,0.02,0.0520833333333335
"59150009022",0.11,49.3646,-123.2751,0.13,0.01,0.01,0,0.0833333333333335
"59150010001",0.14,49.3586,-123.2648,0.67,0.01,0.01,0.1,0.0104166666666667
"59150010003",0.19,49.3568,-123.2631,0.22,0.01,0.01,0.01,0.15625
"59150010004",0.15,49.356,-123.2662,0.67,0.01,0.01,0.1,0.0208333333333333
"59150010005",0.14,49.3546,-123.268,0.21,0.01,0.01,0.01,0.104166666666667
"59150010011",0.11,49.361,-123.2745,0.13,0.01,0.01,0,0.0833333333333335
"59150010012",0.11,49.3607,-123.2743,0.13,0.01,0.01,0,0.0833333333333335
"59150010013",0.19,49.3587,-123.2681,0.94,0.01,0.01,0.19,-0.03125
"59150010014",0.13,49.3615,-123.2636,0.13,0.01,0.01,0,0.104166666666667
"59150012001",0.14,49.3527,-123.2467,0.71,0.01,0.02,0.11,0
"59150012005",0.15,49.3493,-123.2524,0.23,0.01,0.01,0.01,0.114583333333333
"59150012006",0.15,49.3478,-123.2511,0.88,0.01,0.01,0.17,-0.0520833333333334
"59150012009",0.15,49.3512,-123.2486,0.13,0.01,0.01,0,0.125
